example_id                                                                                                                          | status | run_time        |
/home/theboymo/WORK/WEBDEV/COURSE-WORK/LEARN-CO/08-rails/labs/50+/54-rails-amusement-park/spec/features/user_features_spec.rb[4:4]  | passed | 0.04417 seconds |
/home/theboymo/WORK/WEBDEV/COURSE-WORK/LEARN-CO/08-rails/labs/50+/54-rails-amusement-park/spec/features/user_features_spec.rb[4:5]  | passed | 0.06429 seconds |
/home/theboymo/WORK/WEBDEV/COURSE-WORK/LEARN-CO/08-rails/labs/50+/54-rails-amusement-park/spec/features/user_features_spec.rb[4:6]  | passed | 0.0397 seconds  |
/home/theboymo/WORK/WEBDEV/COURSE-WORK/LEARN-CO/08-rails/labs/50+/54-rails-amusement-park/spec/features/user_features_spec.rb[4:7]  | passed | 0.03941 seconds |
/home/theboymo/WORK/WEBDEV/COURSE-WORK/LEARN-CO/08-rails/labs/50+/54-rails-amusement-park/spec/features/user_features_spec.rb[4:8]  | passed | 0.04644 seconds |
/home/theboymo/WORK/WEBDEV/COURSE-WORK/LEARN-CO/08-rails/labs/50+/54-rails-amusement-park/spec/features/user_features_spec.rb[4:9]  | passed | 0.0459 seconds  |
/home/theboymo/WORK/WEBDEV/COURSE-WORK/LEARN-CO/08-rails/labs/50+/54-rails-amusement-park/spec/features/user_features_spec.rb[4:10] | passed | 0.04628 seconds |
/home/theboymo/WORK/WEBDEV/COURSE-WORK/LEARN-CO/08-rails/labs/50+/54-rails-amusement-park/spec/features/user_features_spec.rb[4:11] | passed | 0.05526 seconds |
/home/theboymo/WORK/WEBDEV/COURSE-WORK/LEARN-CO/08-rails/labs/50+/54-rails-amusement-park/spec/features/user_features_spec.rb[4:12] | passed | 0.06716 seconds |
/home/theboymo/WORK/WEBDEV/COURSE-WORK/LEARN-CO/08-rails/labs/50+/54-rails-amusement-park/spec/models/attraction_spec.rb[1:1]       | passed | 0.00334 seconds |
/home/theboymo/WORK/WEBDEV/COURSE-WORK/LEARN-CO/08-rails/labs/50+/54-rails-amusement-park/spec/models/attraction_spec.rb[1:2]       | passed | 0.00809 seconds |
/home/theboymo/WORK/WEBDEV/COURSE-WORK/LEARN-CO/08-rails/labs/50+/54-rails-amusement-park/spec/models/attraction_spec.rb[1:3]       | passed | 0.01454 seconds |
/home/theboymo/WORK/WEBDEV/COURSE-WORK/LEARN-CO/08-rails/labs/50+/54-rails-amusement-park/spec/models/ride_spec.rb[1:1]             | passed | 0.0077 seconds  |
/home/theboymo/WORK/WEBDEV/COURSE-WORK/LEARN-CO/08-rails/labs/50+/54-rails-amusement-park/spec/models/ride_spec.rb[1:2]             | passed | 0.00906 seconds |
/home/theboymo/WORK/WEBDEV/COURSE-WORK/LEARN-CO/08-rails/labs/50+/54-rails-amusement-park/spec/models/ride_spec.rb[1:3]             | passed | 0.00838 seconds |
/home/theboymo/WORK/WEBDEV/COURSE-WORK/LEARN-CO/08-rails/labs/50+/54-rails-amusement-park/spec/models/ride_spec.rb[1:4]             | passed | 0.00908 seconds |
/home/theboymo/WORK/WEBDEV/COURSE-WORK/LEARN-CO/08-rails/labs/50+/54-rails-amusement-park/spec/models/ride_spec.rb[1:5]             | passed | 0.01048 seconds |
/home/theboymo/WORK/WEBDEV/COURSE-WORK/LEARN-CO/08-rails/labs/50+/54-rails-amusement-park/spec/models/ride_spec.rb[1:6]             | passed | 0.01438 seconds |
/home/theboymo/WORK/WEBDEV/COURSE-WORK/LEARN-CO/08-rails/labs/50+/54-rails-amusement-park/spec/models/ride_spec.rb[1:7]             | passed | 0.0112 seconds  |
/home/theboymo/WORK/WEBDEV/COURSE-WORK/LEARN-CO/08-rails/labs/50+/54-rails-amusement-park/spec/models/ride_spec.rb[1:8]             | passed | 0.01265 seconds |
/home/theboymo/WORK/WEBDEV/COURSE-WORK/LEARN-CO/08-rails/labs/50+/54-rails-amusement-park/spec/models/ride_spec.rb[1:9]             | passed | 0.01221 seconds |
/home/theboymo/WORK/WEBDEV/COURSE-WORK/LEARN-CO/08-rails/labs/50+/54-rails-amusement-park/spec/models/user_spec.rb[1:1]             | passed | 0.00518 seconds |
/home/theboymo/WORK/WEBDEV/COURSE-WORK/LEARN-CO/08-rails/labs/50+/54-rails-amusement-park/spec/models/user_spec.rb[1:2]             | passed | 0.00195 seconds |
/home/theboymo/WORK/WEBDEV/COURSE-WORK/LEARN-CO/08-rails/labs/50+/54-rails-amusement-park/spec/models/user_spec.rb[1:3]             | passed | 0.00469 seconds |
/home/theboymo/WORK/WEBDEV/COURSE-WORK/LEARN-CO/08-rails/labs/50+/54-rails-amusement-park/spec/models/user_spec.rb[1:4]             | passed | 0.00505 seconds |
/home/theboymo/WORK/WEBDEV/COURSE-WORK/LEARN-CO/08-rails/labs/50+/54-rails-amusement-park/spec/models/user_spec.rb[1:5]             | passed | 0.01427 seconds |
/home/theboymo/WORK/WEBDEV/COURSE-WORK/LEARN-CO/08-rails/labs/50+/54-rails-amusement-park/spec/models/user_spec.rb[1:6]             | passed | 0.01556 seconds |
/home/theboymo/WORK/WEBDEV/COURSE-WORK/LEARN-CO/08-rails/labs/50+/54-rails-amusement-park/spec/models/user_spec.rb[1:7]             | passed | 0.00473 seconds |
/home/theboymo/WORK/WEBDEV/COURSE-WORK/LEARN-CO/08-rails/labs/50+/54-rails-amusement-park/spec/models/user_spec.rb[1:8]             | passed | 0.0065 seconds  |
